tournament_id;sattb_number;event_category;age_category;result
32;1001;MENS;OPEN;WINNER
32;1005;MENS;OPEN;RUNNER UP
32;1006;MENS;OPEN;SEMI FINALS
32;1382;MENS;OPEN;SEMI FINALS
32;1037;MENS;OPEN;QUARTER FINALS
32;1018;MENS;OPEN;QUARTER FINALS
32;1020;MENS;OPEN;QUARTER FINALS
32;2998;MENS;OPEN;QUARTER FINALS
32;2531;MENS;OPEN;ROUND OF 16
32;1621;MENS;OPEN;ROUND OF 16
32;1013;MENS;OPEN;ROUND OF 16
32;1569;MENS;OPEN;ROUND OF 16
32;1558;MENS;OPEN;ROUND OF 16
32;1084;MENS;OPEN;ROUND OF 16
32;1046;MENS;OPEN;ROUND OF 16
32;1220;MENS;OPEN;ROUND OF 16
32;1152;MENS;OPEN;ROUND OF 32
32;3128;MENS;OPEN;ROUND OF 32
32;1505;MENS;OPEN;ROUND OF 32
32;1577;MENS;OPEN;ROUND OF 32
32;1052;MENS;OPEN;ROUND OF 32
32;1027;MENS;OPEN;ROUND OF 32
32;1070;MENS;OPEN;ROUND OF 32
32;1727;MENS;OPEN;ROUND OF 32
32;1762;MENS;OPEN;ROUND OF 32
32;1568;MENS;OPEN;ROUND OF 32
32;1275;MENS;OPEN;ROUND OF 32
32;1036;MENS;OPEN;ROUND OF 32
32;1149;MENS;OPEN;ROUND OF 32
32;1024;MENS;OPEN;ROUND OF 32
32;1726;MENS;OPEN;ROUND OF 32
32;1325;MENS;OPEN;ROUND OF 32
32;1040;MENS;OPEN;ROUND OF 64
32;1078;MENS;OPEN;ROUND OF 64
32;1559;MENS;OPEN;ROUND OF 64
32;1588;MENS;OPEN;ROUND OF 64
32;1215;MENS;OPEN;ROUND OF 64
32;1777;MENS;OPEN;ROUND OF 64
32;1041;MENS;OPEN;ROUND OF 64
32;1334;MENS;OPEN;ROUND OF 64
32;1570;MENS;OPEN;ROUND OF 64
32;3286;MENS;OPEN;ROUND OF 64
32;2460;MENS;OPEN;ROUND OF 64
32;2253;MENS;OPEN;ROUND OF 64
32;3126;MENS;OPEN;ROUND OF 64
32;2247;MENS;OPEN;ROUND OF 64
32;1162;MENS;OPEN;ROUND OF 64
32;1117;MENS;OPEN;ROUND OF 64
32;1035;MENS;OPEN;ROUND OF 64
32;1062;MENS;OPEN;ROUND OF 64
32;1567;MENS;OPEN;ROUND OF 64
32;2583;MENS;OPEN;ROUND OF 64
32;2466;MENS;OPEN;ROUND OF 64
32;1562;MENS;OPEN;ROUND OF 64
32;2465;MENS;OPEN;ROUND OF 64
32;1158;MENS;OPEN;ROUND OF 64
32;1202;MENS;OPEN;ROUND OF 64
32;1119;MENS;OPEN;ROUND OF 64
32;1125;MENS;OPEN;ROUND OF 64
32;1729;MENS;OPEN;ROUND OF 64
32;1025;MENS;OPEN;ROUND OF 64
32;1145;MENS;OPEN;ROUND OF 64
32;2500;MENS;OPEN;ROUND OF 64
32;1178;MENS;OPEN;ROUND OF 64
32;2255;MENS;OPEN;ROUND OF 128
32;2497;MENS;OPEN;ROUND OF 128
32;1147;MENS;OPEN;ROUND OF 128
32;2611;MENS;OPEN;ROUND OF 128
32;1191;MENS;OPEN;ROUND OF 128
32;1860;MENS;OPEN;ROUND OF 128
32;1028;MENS;OPEN;ROUND OF 128
32;1585;MENS;OPEN;ROUND OF 128
32;3144;MENS;OPEN;ROUND OF 128
32;2582;MENS;OPEN;ROUND OF 128
32;3275;MENS;OPEN;ROUND OF 128
32;1347;MENS;OPEN;ROUND OF 128
32;1594;MENS;OPEN;ROUND OF 128
32;3284;MENS;OPEN;ROUND OF 128
32;1172;MENS;OPEN;ROUND OF 128
32;1564;MENS;OPEN;ROUND OF 128
32;1973;MENS;OPEN;ROUND OF 128
32;1728;MENS;OPEN;ROUND OF 128
32;3000;MENS;OPEN;ROUND OF 128
32;1069;MENS;OPEN;ROUND OF 128
32;1436;MENS;OPEN;ROUND OF 128
32;3279;MENS;OPEN;ROUND OF 128
32;2494;MENS;OPEN;ROUND OF 128
32;2519;MENS;OPEN;ROUND OF 128
32;2453;MENS;OPEN;ROUND OF 128
32;3281;MENS;OPEN;ROUND OF 128
32;3168;MENS;OPEN;ROUND OF 128
32;2780;MENS;OPEN;ROUND OF 128
32;1548;MENS;OPEN;ROUND OF 128
32;2372;MENS;OPEN;ROUND OF 128
32;3050;MENS;OPEN;GROUPS
32;1198;MENS;OPEN;GROUPS
32;2555;MENS;OPEN;GROUPS
32;3278;MENS;OPEN;GROUPS
32;3268;MENS;OPEN;GROUPS
32;3272;MENS;OPEN;GROUPS
32;1798;MENS;OPEN;GROUPS
32;1689;MENS;OPEN;GROUPS
32;3273;MENS;OPEN;GROUPS
32;3264;MENS;OPEN;GROUPS
32;2234;MENS;OPEN;GROUPS
32;1366;MENS;OPEN;GROUPS
32;3269;MENS;OPEN;GROUPS
32;3288;MENS;OPEN;GROUPS
32;3271;MENS;OPEN;GROUPS
32;1705;MENS;OPEN;GROUPS
32;3262;MENS;OPEN;GROUPS
32;3277;MENS;OPEN;GROUPS
32;2580;MENS;OPEN;GROUPS
32;3270;MENS;OPEN;GROUPS
32;2371;MENS;OPEN;GROUPS
32;2492;MENS;OPEN;GROUPS
32;1732;MENS;OPEN;GROUPS
32;2317;MENS;OPEN;GROUPS